"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
13,4,154,0.274,0.2606,0.0134,55.9,24.6,32.7,31.3,23.2
19,1,24,0.153,0.143,0.01,52.3,25.6,29.1,26.7,23.2
20,2,60,0.293,0.257,0.036,28.6,3.2,5.4,25.4,23.2
14,4,2,0.2616,0.2516,0.01,41.2,11.4,17.9,29.8,23.3
15,3,98,0.254,0.235,0.019,47.6,10.4,24.3,37.2,23.3
17,3,105,0.276,0.238,0.038,52.2,23.7,28.9,28.5,23.3
21,4,133,0.21,0.203,0.007,53,32.8,29.7,20.2,23.3
21,4,139,0.169,0.162,0.007,52.7,30.5,29.4,22.2,23.3
21,2,56,0.228,0.218,0.01,48.4,22.7,25.1,25.7,23.3
22,3,81,0.273,0.243,0.03,49.5,12.5,26.1,37,23.4
